Index,Time[d.s],IEs_T(15)_S(17)_EvLim(20),IEs_T(15)_S(33)_EvLim(20),IEs_T(30)_S(17)_EvLim(20),IEs_T(30)_S(33)_EvLim(20)
17397,737175.2110852409,24784.224715502165,24784.224715502165,18710.257478535503,21048.097333458165
17398,737175.2165064529,24653.150772729878,24653.150772729878,18320.884664262012,18852.345797345683
17399,737175.216880082,22875.98803812039,22875.98803812039,17873.430382983865,16306.98989364002
17400,737175.2304385175,22875.98803812039,22875.98803812039,17873.430382983865,16306.98989364002
17401,737175.2328769147,22289.67017003054,22289.67017003054,15808.135047825148,15782.680169689027
17404,737175.238793773,22289.67017003054,22289.67017003054,15808.135047825148,15782.680169689027
17420,737175.3761705796,23302.08314416046,23302.08314416046,20959.802496359884,16302.29369145781
17421,737175.3909392811,22274.882890237623,24286.028095685015,13087.472954507408,17144.15904318174
17459,737175.9300263404,22274.882890237623,24286.028095685015,13087.472954507408,17144.15904318174
17461,737175.940609483,22274.882890237623,24286.028095685015,13087.472954507408,17144.15904318174
17472,737176.0237675118,22274.882890237623,24286.028095685015,13087.472954507408,17144.15904318174
17565,737177.5176847088,22303.16919791982,23180.72227221256,12449.987680256514,15254.380397979685
17573,737177.688953699,22303.16919791982,23180.72227221256,12449.987680256514,15254.380397979685
17588,737177.8934535219,22303.16919791982,23180.72227221256,12449.987680256514,15254.380397979685
17656,737179.0015312603,22303.16919791982,23180.72227221256,12449.987680256514,15254.380397979685
17658,737179.0456053846,21465.121565862308,22564.162499506565,14093.101910521546,14822.145171004877
17728,737180.1910132861,21465.121565862308,22564.162499506565,14093.101910521546,14822.145171004877
17729,737180.1935250778,23702.848240907948,23702.848240907948,23702.848240907948,23702.848240907948
17859,737183.1442050732,23953.917726473093,22809.864361465494,23953.917726473093,18363.969042851346
17884,737183.9455011445,20860.833981348347,22706.48610614586,20860.833981348347,17512.616719182497
17902,737184.7164425226,21613.403684192872,21837.362348337138,21613.403684192872,21837.362348337138
17916,737185.055739237,21613.403684192872,21837.362348337138,21613.403684192872,21837.362348337138
17923,737185.1165619921,19950.727080632412,21570.757563006937,19950.727080632412,19715.981568546656
17939,737185.7523723571,24205.583299809594,21918.59856501444,24205.583299809594,21918.59856501444
17953,737186.3349227612,22385.012885318887,21661.041066708098,18247.447392503454,19202.381588324442
17967,737186.891989172,18214.775731412257,20081.987063456854,16494.27623856837,17623.327585073195
17998,737187.6823558592,22226.342324049016,22226.342324049016,22226.342324049016,22226.342324049016
18000,737187.7251871196,22226.342324049016,22226.342324049016,22226.342324049016,22226.342324049016
18016,737188.2043829915,23114.984394401614,24398.652253784687,23114.984394401614,24398.652253784687
18041,737188.7833001076,23761.793847121375,23802.479741062434,23761.793847121375,23802.479741062434
18045,737188.889556369,18681.574263652372,19520.14774890675,18681.574263652372,19520.14774890675
18064,737189.1767361187,18681.574263652372,19520.14774890675,18681.574263652372,19520.14774890675
18223,737194.139013977,18681.574263652372,19520.14774890675,18681.574263652372,19520.14774890675
18244,737194.8227019515,28120.456012249837,28120.456012249837,28120.456012249837,25066.214011399727
18264,737195.3002237993,20413.888806101808,21569.601249107578,18403.755237717563,20251.979474348056
18276,737195.732465798,22776.193805490337,20371.06122800151,22776.193805490337,20371.06122800151
18356,737199.3843391237,17790.128897540737,21842.988037523766,17336.676794966137,17634.689428422807
18400,737201.4751457477,35755.446453861434,35755.446453861434,35755.446453861434,35755.446453861434
18410,737201.6185687712,22602.07091031932,24275.426406295253,22602.07091031932,24275.426406295253
18415,737202.085085928,22602.07091031932,24275.426406295253,22602.07091031932,24275.426406295253
18459,737204.406205429,22602.07091031932,24275.426406295253,22602.07091031932,24275.426406295253
18561,737209.7370143707,39008.96794483661,31529.60382972722,19707.04369017997,24249.924700422875
18593,737210.9348829385,36731.18294563313,36731.18294563313,19773.804699616907,24165.63782853892
18605,737211.4086953445,36731.18294563313,36731.18294563313,19773.804699616907,24165.63782853892
18608,737211.4828582052,36731.18294563313,36731.18294563313,19773.804699616907,24165.63782853892
18621,737212.0968787005,36731.18294563313,36731.18294563313,19773.804699616907,24165.63782853892
18629,737212.3646358656,34798.79789592713,34798.79789592713,31503.130103809024,19648.408545422124
18646,737213.1095670288,33097.330456522235,33097.330456522235,16502.78923800953,16798.71518559135
18648,737213.1272911779,33097.330456522235,33097.330456522235,16502.78923800953,16798.71518559135
18660,737213.3931565451,33531.90529312098,35039.73859610712,19868.690456688782,25874.542795539048
18674,737213.8117560421,32337.461992974582,34251.142654410425,19762.78332874904,24925.592934349515
18675,737213.9239283315,32337.461992974582,34251.142654410425,19762.78332874904,24925.592934349515
18676,737213.9265554604,31811.166911963348,33753.60528818461,19918.617421787418,22023.041052539287
18679,737213.9687467549,31811.166911963348,33753.60528818461,19918.617421787418,22023.041052539287
18686,737214.1483255052,31341.822439814445,33002.31996939683,19251.309984299278,25224.546923688034
18708,737215.2440231324,30326.261836603346,31353.99394911138,18328.578593448787,22951.36013876783
18745,737216.7163221767,30326.261836603346,31353.99394911138,18328.578593448787,22951.36013876783
18752,737216.9999992034,30326.261836603346,31353.99394911138,18328.578593448787,22951.36013876783
18786,737218.7492526202,36535.819452292075,36593.123091934445,36535.819452292075,28866.87282115841
18802,737219.8606928729,34876.37537256218,31367.6175029265,32621.505743750444,26057.946328090104
18812,737220.6704952389,35754.082118554965,35754.082118554965,29403.815316588018,29403.815316588018
18843,737222.0881774208,36625.01660684538,36557.914383673975,36625.01660684538,30739.943337265297
18880,737224.1734979097,36230.85111787405,35047.92443192769,36230.85111787405,35047.92443192769
18897,737225.0253987748,36230.85111787405,35047.92443192769,36230.85111787405,35047.92443192769
18899,737225.273485286,35391.08023199725,36601.286973243616,29807.3604395944,31798.79684562879
18902,737225.6544008395,35225.251940140624,34819.037583489284,35225.251940140624,34819.037583489284
18925,737227.9170108408,35225.251940140624,34819.037583489284,35225.251940140624,34819.037583489284
18940,737229.1137493947,35694.34858408049,36466.033658275264,35694.34858408049,36756.58614989065
18952,737229.7179349802,35694.34858408049,36466.033658275264,35694.34858408049,36756.58614989065
19014,737232.8731136196,32955.1259532461,32574.523739160923,32955.1259532461,33994.69929634088
19015,737232.8759406888,30926.49932442454,29652.147016724644,30926.49932442454,32079.54767991159
19090,737236.5912402234,34331.15153683792,34109.72849410537,35697.19434287754,37592.01456540205
19092,737236.7239000692,32981.33603554746,31466.349313886978,32981.33603554746,35749.131633492085
19101,737237.3723385999,36564.94390832318,33952.1864828974,36564.94390832318,34498.264370219564
19116,737238.2761719415,35086.28189215128,32177.39533864844,35690.86411012793,35446.39345714342
19163,737241.0144258344,35086.28189215128,32177.39533864844,35690.86411012793,35446.39345714342
19182,737242.0235248478,35086.28189215128,32177.39533864844,35690.86411012793,35446.39345714342
19302,737247.3391978063,34843.2823739234,34262.96842369132,33261.389483997256,30082.017874034813
19342,737248.9966769518,31613.553878548002,33319.83044433399,34235.05957946563,29920.13866706372
19430,737253.9865604037,34035.174525232556,34035.174525232556,34393.788493017695,31551.926258966818
19531,737259.493059796,32760.62652616055,35120.813040912566,32760.62652616055,33739.274304700266
19571,737260.407289176,33693.275501314405,36016.87192403754,33311.77524298294,34371.057903401925
19574,737260.5713919401,33975.770238720455,33975.770238720455,33975.770238720455,35081.22400752706
19637,737263.1475255367,31942.253930168587,34180.02643559374,31942.253930168587,30714.786603645876
19723,737266.268576215,34210.57256131924,31259.411121350993,29736.177070213133,34313.25199631916
19750,737267.097229406,27869.875673968723,27869.875673968723,33557.45624325898,27869.875673968723
19768,737267.8923447023,30126.472915064856,30126.472915064856,30126.472915064856,30126.472915064856
19843,737272.1495565054,35244.65433486487,32069.180571226618,35244.65433486487,33908.29127730866
19873,737274.9594785781,30319.171585258922,31797.465800562106,30319.171585258922,35230.674911039416
19878,737275.302055375,26043.731053023963,26927.230895699515,28982.20224790131,26927.230895699515
19934,737279.7342866713,34047.52371304761,31236.209432029096,35787.22118397413,33290.654773885195
20013,737284.5516442715,34994.52481010793,34994.52481010793,34994.52481010793,31543.617726520413
20029,737285.9580250883,35257.53165358489,32857.978340951864,35257.53165358489,32857.978340951864
20072,737287.040691235,34102.38566310125,34264.700120460206,29543.703087103822,29956.67020095666
20152,737289.170501476,31081.44826920314,32630.737486928334,28448.636477614556,28322.707567424794
20170,737289.9456997153,34436.102539760235,33231.233067109926,34436.102539760235,31470.708564773056
20203,737291.38818864,33377.8535350986,33377.8535350986,33377.8535350986,27049.572826463333
20241,737293.3136975565,33334.13320793914,33875.54075074323,33334.13320793914,28236.424445050787
20302,737295.8577626543,33334.13320793914,33875.54075074323,33334.13320793914,28236.424445050787
20307,737296.0466736527,33554.436358960826,33890.46602615219,31534.1855698291,28455.61667306356
20313,737296.1620443759,36558.168882582315,33555.410864244586,36558.168882582315,28172.249932555027
20352,737297.1592750677,34331.31151427629,33614.80814939369,29465.314157069482,32391.770982057118
20392,737299.1694895659,37651.96865071588,37651.96865071588,34733.95120381494,33567.58891938339
20471,737303.168450628,34544.02564033288,34544.02564033288,29874.738397071793,31538.13655316982
20482,737303.811754334,39593.684272129445,36883.52760301654,39593.684272129445,34943.22366078857
20523,737305.6852811493,33571.17235241233,32594.65785352652,31682.713184883272,32175.812932003388
20529,737306.3796577603,42319.64880614277,38467.583452196,42319.64880614277,38226.67420038057
20542,737307.0430835335,36147.8326035594,35957.82299083972,36147.8326035594,35957.82299083972
20611,737310.1490675475,36147.8326035594,35957.82299083972,36147.8326035594,35957.82299083972
