Index,Time[d.s],logKs_T(15)_S(17)_EvLim(20),logKs_T(15)_S(33)_EvLim(20),logKs_T(30)_S(17)_EvLim(20),logKs_T(30)_S(33)_EvLim(20)
54972,737904.0929286822,5.96663979166881,4.450179729606816,5.125659434760128,5.75586328985243
54973,737904.1599115718,5.968076336913945,4.475974246689067,4.493352467730938,5.774189742810817
54988,737904.5054525769,4.453032766757512,4.484286250513588,5.813057996218999,5.772284712090848
54998,737904.8388693556,5.970303936969685,4.467159455050192,5.827453230234151,5.7723858128270855
55034,737905.9909869198,4.469107208020839,4.449700355512706,5.812418731942034,5.787328057090095
55035,737905.9973413263,4.4504088706702625,4.454374031183216,5.812523863546116,5.787432790980569
55042,737906.1785467737,4.4504088706702625,4.454374031183216,5.812523863546116,5.787432790980569
55057,737906.4663384226,4.354574521417518,4.347825190608669,5.1186799724137755,5.117339666173621
55086,737907.5530718643,4.505194920585948,4.520292962030503,5.814367852882436,5.789269820064154
55118,737908.7399979439,4.47087927563559,4.502902107817402,5.822147674148181,5.774167285881305
55132,737909.1122304467,4.486446531114117,4.509190310943834,5.833357806522502,5.789489445570894
55145,737909.8473723951,5.014716254521178,5.007038480114746,5.733131300684789,5.712936191112272
55146,737909.8501202377,5.1034162710418,5.11356723833103,5.747071548783798,5.723535143976986
55148,737909.8538141762,5.124163949377705,5.118942587218396,5.744246726772765,5.724170423108715
55154,737910.0122164882,4.33933727160879,5.11086746695961,5.111209499425707,5.702223551993138
55156,737910.0679548597,5.127054091347744,5.11831197516143,5.748548940987002,5.72283795879606
55169,737910.3455225931,4.718233666353,5.201746553729244,5.155383986964057,5.721223312735791
55196,737911.2609122926,4.753866210336417,5.212761397530892,4.567128566915787,5.723052061333781
55214,737911.8332592405,4.753866210336417,5.212761397530892,4.567128566915787,5.723052061333781
55226,737912.214201089,5.128347387109405,5.21440571067754,5.748955308107538,5.735820308197504
55264,737913.4958052939,5.178274352495169,5.254840705142293,5.738907638835072,5.734664008051663
55276,737913.6852036872,5.1803878504623455,5.256059938910417,5.739866448883781,5.73486505889034
55360,737916.017351519,5.1803878504623455,5.256059938910417,5.739866448883781,5.73486505889034
55361,737916.0212684663,4.763910007739157,4.7470253040523795,5.67571690457486,5.649709932550533
55374,737916.1689606372,4.765794977564444,4.748082377174659,5.674580239267465,4.3986891782700726
55375,737916.1982424441,5.199553672825288,5.1275723741485795,4.8985236771613065,5.728725753927101
55403,737917.1993081932,5.199553672825288,5.1275723741485795,4.8985236771613065,5.728725753927101
55515,737918.1786397005,5.346485588912259,5.380657287994101,5.767832569814584,5.753685150603157
55516,737918.1812236385,5.3669964080330965,5.399806667381595,5.774809346631396,5.7577559514232295
55582,737919.5093256774,5.422423131288747,5.412933702279002,5.154762748347506,5.142804290067685
55589,737919.8627656844,5.369685241398206,5.40975752503061,5.106025317086786,5.138762582471809
55592,737920.0682462578,5.369685241398206,5.40975752503061,5.106025317086786,5.138762582471809
55593,737920.0699794163,5.392035754436197,4.557766950472011,5.091005758772216,4.161220585018458
55627,737921.1382091573,5.392035754436197,4.557766950472011,5.091005758772216,4.161220585018458
55648,737921.6490170235,5.392035754436197,4.557766950472011,5.091005758772216,4.161220585018458
55649,737921.6505713556,5.361131589885349,5.403294333889968,5.104974792015594,5.137350083490796
55654,737921.7593393892,5.361131589885349,5.403294333889968,5.104974792015594,5.137350083490796
55666,737922.1066535575,5.362962782540716,5.411101067605741,5.1059161456506725,5.1376074085660095
55677,737922.4412542906,5.391495752738271,4.559659006409832,5.0904657570742895,3.9968924240211448
55688,737922.8490534448,5.385373081227119,4.555578334151993,5.0843430855631375,3.9859813476254726
55689,737922.8711825854,5.385373081227119,4.555578334151993,5.0843430855631375,3.9859813476254726
55705,737923.2477617338,5.3684901941426295,5.402500532478415,5.10651363910494,5.137745434938459
55706,737923.2511291802,5.367832881809313,5.40319421860111,5.10722269400664,5.138358899835841
55728,737923.8754128659,5.367832881809313,5.40319421860111,5.10722269400664,5.138358899835841
55732,737923.9586839915,5.367832881809313,5.40319421860111,5.10722269400664,5.138358899835841
55754,737924.683951325,5.199111178645354,5.078034739212814,4.8980811829813735,4.021911528337469
55764,737925.0452822775,5.373852655272542,5.404567669941938,5.124606696203948,5.13527811132609
55782,737925.3432630356,5.373852655272542,5.404567669941938,5.124606696203948,5.13527811132609
55801,737925.8933588751,5.373852655272542,5.404567669941938,5.124606696203948,5.13527811132609
55809,737926.0299552364,5.1602822412754366,5.226784690357269,4.41739923689897,5.147824094743582
55877,737928.9440404498,5.1602822412754366,5.226784690357269,4.41739923689897,5.147824094743582
55900,737929.8004454076,5.1602822412754366,5.226784690357269,4.41739923689897,5.147824094743582
55931,737930.3965562449,5.1602822412754366,5.226784690357269,4.41739923689897,5.147824094743582
55939,737930.5092702674,5.124857866212572,5.232368040347911,4.823827870548591,4.273195781333291
55958,737930.9776962382,5.055605770686593,5.383860214372037,4.754575775022611,5.082830218708056
55999,737931.8737771278,5.058013891539041,5.250237800824232,4.756983895875059,4.949207805160251
56007,737932.1182756076,5.111277698789579,5.110931635262134,4.810247703125598,4.408846358110533
56069,737934.639794976,5.111277698789579,5.110931635262134,4.810247703125598,4.408846358110533
56075,737934.8841465516,5.19191981112699,5.18539164993089,5.126049026936352,5.111666132686522
56093,737935.4229441235,5.190697725557941,5.1028811780950525,5.095763395873432,5.114338531706701
56097,737935.5150504892,5.104589449133504,5.087110228547408,5.127746333274111,5.113490935737156
56104,737936.1263474277,5.104589449133504,5.087110228547408,5.127746333274111,5.113490935737156
56138,737937.8400914766,5.104589449133504,5.087110228547408,5.127746333274111,5.113490935737156
56146,737938.1634507428,5.104589449133504,5.087110228547408,5.127746333274111,5.113490935737156
56185,737940.348121089,5.104539677507212,5.059904446753371,4.86381765016061,4.897916024268789
56206,737941.0454714983,4.524900480788584,4.524900480788584,4.923984274325924,4.896521883219177
56236,737941.719031307,5.677176639633348,5.749771825969557,5.376146643969368,5.4602012727702265
56241,737942.0371593975,4.498987153523444,4.498987153523444,4.955586013071869,4.808879784436707
56248,737942.3114702044,4.498987153523444,4.498987153523444,4.955586013071869,4.808879784436707
56275,737943.016804561,5.665939956796789,5.05848282905329,4.791634928083392,4.529144803726905
56291,737943.5716995111,5.063553149522921,5.054924470906371,4.941287426845642,4.917584697095153
56409,737948.1741811697,4.484492597339779,4.39817579609864,4.749097933060955,4.714471176613404
56435,737949.7847473425,4.490754323421866,4.490754323421866,4.772049459862233,4.772049459862233
56440,737950.0667297589,4.490754323421866,4.490754323421866,4.772049459862233,4.772049459862233
56482,737951.6641042853,4.450855254378212,4.441735140628841,4.742613540131649,4.741224343987451
56544,737954.7209264861,4.4709370854351524,4.452476345208185,4.781403096684524,4.0724056872415915
56588,737956.311231203,5.665445414288833,5.665266754738761,4.756836079481099,5.37450623312889
56592,737956.3951734703,5.676738178258314,5.6766708008824915,4.1567744093462204,4.153493708884016
56611,737957.0497012449,5.676738178258314,5.6766708008824915,4.1567744093462204,4.153493708884016
56717,737961.6562586837,5.672022125435446,5.6706818497371225,5.370992129771465,5.371538610307292
56771,737963.9180083921,5.660311007441495,5.660311007441495,4.078019505700366,5.365840559090495
56799,737965.1964665897,5.660311007441495,5.660311007441495,4.078019505700366,5.365840559090495
56808,737965.4740783987,5.665054253325388,5.665054253325388,4.1688715535636085,4.16553041034475
56812,737965.6742775618,5.743756964775014,5.741532155308127,5.442726969111033,4.793919115464633
56836,737966.7536204219,5.657155683762199,5.656590525298104,5.356125688098218,4.078828927198376
56846,737967.041514462,5.657155683762199,5.656590525298104,5.356125688098218,4.078828927198376
56852,737967.3042708682,5.663209729817748,5.737450295783868,4.174427294222991,4.791244295954768
56895,737969.0292679177,5.663209729817748,5.737450295783868,4.174427294222991,4.791244295954768
