Index,Time[d.s],logM_T(15)_S(17)_EvLim(20),logM_T(15)_S(33)_EvLim(20),logM_T(30)_S(17)_EvLim(20),logM_T(30)_S(33)_EvLim(20)
89338,736532.6044601053,1.1983350768313308,1.200239021114179,0.6007841241156167,0.6016986346349522
89339,736532.6830609036,1.1989294868337554,1.200691118671361,0.6011206984047778,0.6019679549822441
89341,736532.7815807697,1.1895681583836144,1.2008780229670124,0.5970253379353051,0.6020206548374378
89342,736532.9424849227,1.1895681583836144,1.2008780229670124,0.5970253379353051,0.6020206548374378
89345,736532.9983769623,1.1988368832146719,1.200815469337829,0.6010794084721424,0.6020235511691506
89346,736533.0011258114,1.1992301090315651,1.2009003530236013,0.601254837501488,0.60206151647627
89347,736533.0065926781,1.1992301090315651,1.2009003530236013,0.601254837501488,0.60206151647627
89348,736533.0086325315,1.199370451278266,1.2011062384330455,0.6013175100714516,0.6021536500029876
89349,736533.0125118606,1.19945967225102,1.2011170959449398,0.6013573702935211,0.6021585106369476
89351,736533.0299207296,1.19945967225102,1.2011170959449398,0.6013573702935211,0.6021585106369476
89353,736533.1137098613,1.199545603934767,1.2012712279001312,0.6013957733485494,0.6022275321666418
89357,736533.2663576276,1.200317759763343,1.2019992640113195,0.6017413904985834,0.6025540672569337
89358,736533.2691174197,1.200317759763343,1.2019992640113195,0.6017413904985834,0.6025540672569337
89359,736533.269632341,1.2003956248080125,1.2020727412617187,0.6017762963028734,0.6025870696861603
89364,736533.3798431634,1.2286777162995361,1.2293206116710644,0.6149535371207303,0.6152852900912407
89365,736533.3806583483,1.229170691134638,1.229802850378743,0.6151898608140051,0.6155163021048329
89366,736533.4031910516,1.229170691134638,1.229802850378743,0.6151898608140051,0.6155163021048329
89367,736533.4459941807,1.2292388655271862,1.229880749211388,0.6152225554660775,0.6155536339040492
89369,736533.4746987019,1.2293569585042166,1.230023269416063,0.6152791971934931,0.6156219452636902
89372,736533.5196498061,1.2296078325655801,1.2302038015787633,0.6153995567273027,0.6157084960581248
89375,736533.5532155291,1.2296078325655801,1.2302038015787633,0.6153995567273027,0.6157084960581248
89376,736533.5549945682,1.2296078325655801,1.2302038015787633,0.6153995567273027,0.6157084960581248
89378,736533.6671741942,1.2296078325655801,1.2302038015787633,0.6153995567273027,0.6157084960581248
89380,736533.7264737037,1.2296078325655801,1.2302038015787633,0.6153995567273027,0.6157084960581248
89381,736533.7540036256,1.2298172457487113,1.2304355925802573,0.6155000571702748,0.6158196538412536
89382,736533.7699374128,1.2263499839021443,1.2304521385731257,0.6138107305304129,0.6158275900331989
89388,736533.92646471,1.2299939833664624,1.2306086067799193,0.6155848987864498,0.6159026482371053
89391,736533.9425645863,1.2299939833664624,1.2306086067799193,0.6155848987864498,0.6159026482371053
89396,736534.0326512572,1.2300272136502959,1.230614698687458,0.615600853049821,0.6159055708736597
