Index,Time[d.s],IEt_T(15)_S(17)_EvLim(20),IEt_T(15)_S(33)_EvLim(20),IEt_T(30)_S(17)_EvLim(20),IEt_T(30)_S(33)_EvLim(20)
67886,738355.0964673809,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67887,738355.0977183151,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67889,738355.1070601316,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67890,738355.1140726226,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67891,738355.1158331234,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67895,738355.1955132822,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67904,738355.3357032783,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67933,738355.6721570207,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67935,738355.7495579073,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67942,738355.7857114024,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67956,738356.0869598843,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67959,738356.1535548924,7.786419291398488,3.0138346053427085,7.786419291398488,4.888695556437597
67963,738356.2907835911,7.786419291398488,3.0138346053427085,7.786419291398488,4.888695556437597
67967,738356.3459027738,7.786419291398488,3.0138346053427085,7.786419291398488,4.888695556437597
67975,738356.5262363402,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
67986,738356.8184069631,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
67990,738356.9393367438,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
67991,738356.9696721621,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
67993,738357.0437457245,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68000,738357.3401995281,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68025,738357.9044489531,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68026,738357.914017266,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68044,738358.3582796133,10.931277772411704,6.416962854331359,10.931277772411704,6.416962854331359
68064,738358.6567008658,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68065,738358.6765480962,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68068,738358.7488319067,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68073,738358.7988292341,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68083,738359.0141702683,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68086,738359.0431409928,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68096,738359.3491997182,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68106,738359.5169596726,3.571081906557083,2.8853729215916246,4.888695556437597,3.5220232363790274
68122,738359.8857461013,1.3165013376856223,1.3165013376856223,4.888695556437597,3.5220232363790274
68125,738359.9788884755,1.3165013376856223,1.3165013376856223,4.888695556437597,3.5220232363790274
68129,738360.1053693243,1.3165013376856223,1.3165013376856223,4.888695556437597,3.5220232363790274
68135,738360.3133978609,1.3165013376856223,1.3165013376856223,4.888695556437597,3.5220232363790274
68136,738360.3347452711,7.786419291398488,1.3165013376856223,7.786419291398488,4.888695556437597
68137,738360.3398453962,7.786419291398488,1.3165013376856223,7.786419291398488,4.888695556437597
68138,738360.3409468953,7.786419291398488,1.01808008516673,7.786419291398488,4.888695556437597
68139,738360.3461248127,7.786419291398488,1.01808008516673,7.786419291398488,4.888695556437597
68140,738360.3776556745,7.786419291398488,1.3165013376856223,7.786419291398488,4.888695556437597
68141,738360.3836789302,7.786419291398488,1.3165013376856223,7.786419291398488,4.888695556437597
68142,738360.3845065322,7.786419291398488,1.3165013376856223,7.786419291398488,4.888695556437597
68143,738360.3864029591,7.786419291398488,1.3165013376856223,7.786419291398488,4.888695556437597
68145,738360.4089583544,7.786419291398488,1.3165013376856223,7.786419291398488,4.888695556437597
68148,738360.4379045286,7.786419291398488,1.3165013376856223,7.786419291398488,4.888695556437597
