Index,Time[d.s],bp_T(15)_S(17)_EvLim(20),bp_T(15)_S(33)_EvLim(20),bp_T(30)_S(17)_EvLim(20),bp_T(30)_S(33)_EvLim(20)
829,736721.5028145574,0.8058198394689244,0.8374824719897417,0.9550874498287282,0.9106524333468086
830,736721.5042457217,0.776128444737746,0.8374824719897417,0.9266164181916182,0.9180326098820403
833,736721.514481939,1.2218003327201454,0.8784064476329899,0.9716967898394696,0.9106524333468086
838,736722.7662502392,1.2199283199529545,0.8887335918893284,1.175533935978727,0.9328723493332883
906,736726.104598194,0.8366443609344606,0.9325341635959395,0.9286256947707523,0.8880882937341446
938,736727.1348843658,1.017083095792159,1.11138351668155,0.9579073520369786,0.937488738568788
946,736727.3617935538,1.0450936730292157,1.000020188593014,0.8337669330723072,0.8912554607084723
985,736728.5454205048,1.062494145329056,1.0528351076442466,1.062494145329056,0.9240308125601099
1000,736729.1850183114,0.9747257698576723,0.9911284856713215,0.8290699622715594,0.9053190510192859
1021,736729.5256180555,1.1231753842325476,0.9273191784411072,1.0198696248217265,0.8760218766997132
1030,736729.7761158914,1.0925647343478029,0.7445048261198602,1.262483959021081,0.9240308125601101
1042,736730.3463141656,0.8840600140524211,0.9775116956021745,0.8618854106128482,0.8446570150468431
1049,736730.426178085,0.847863413693984,0.842381538174411,0.9769405523386032,0.8694169799779111
1052,736730.7291564929,0.8042490405615775,0.9373262199350761,0.8225274278470677,0.8762562056055523
1066,736731.1379428904,0.7411168633161292,1.0248837331050191,0.8119033482215788,0.8631089072525195
1069,736731.2500305716,1.0490204876890141,1.173768870008789,0.8216785863322618,0.8474716377510672
1075,736731.3845104483,1.1698167862713853,1.0395346641301242,0.8373083863540323,0.8641993796558703
1087,736731.5982893001,1.0666882011658816,1.161215192254684,0.824982733601835,0.8641993796558706
1091,736731.9285630799,0.9590098969472438,1.0414735777056399,0.801727883694613,0.8518272027207088
1098,736732.3771301714,1.0994797010208905,1.139548203244684,0.7577495236765597,0.8244328967918871
1111,736732.7852317052,1.5171859629807916,1.3260900210786315,1.0218693691841212,0.8224181218765895
1112,736732.802304915,1.6784327803024213,1.4423063974646742,1.0956970873705887,0.8332477654776248
1164,736734.4667989287,0.8298620673310544,1.0614121757309616,0.844461492589656,0.8682613180261163
1176,736734.9352994396,0.8863152691903099,1.1135755946237227,0.6352267248777355,0.8249360954236677
1180,736735.124702095,0.7566105956502642,1.0808233712524367,0.6742751306895935,0.8929064151116727
1206,736735.6103203425,0.9620447383932789,0.9704904623536352,0.802642149371644,0.8603440004686788
1214,736736.0045434892,1.0857362047581292,0.8863152691903099,0.7684884207906905,0.8601702759988553
1217,736736.0189698514,1.389742342090405,1.4205894267863368,1.3233349864088004,1.0756519675622338
1221,736736.1211885372,0.6605239268490521,0.7033109018676142,0.8184583875679657,0.7978687767742412
1224,736736.2740032981,1.193116708525417,0.8765576698964717,0.7770259105619107,0.8432902561228189
1229,736736.6233665241,1.3934582307056211,1.063973118248501,0.8259166058381967,0.8886304157358655
1250,736737.4417635615,1.4749623913695338,1.366660957038204,1.443274713273646,1.3362907135484672
1263,736738.3141871082,1.4757579482149337,1.063973118248501,0.8033474160766426,0.863245065780245
1284,736739.0565095777,1.2176480801025744,1.074986341344683,0.7076081171539745,0.9279796621864357
1303,736739.9160606596,1.4757579482149337,1.1304845515919786,0.8501686432037555,0.8495979507888702
1313,736740.37130553,1.0270477612576898,1.3294729037854642,1.0960113107968497,0.8806666782510899
1318,736740.5011265283,2.013285677697193,1.4847674594982962,2.013285677697193,1.0381541400077734
1331,736741.0734638503,1.2867984648985233,1.395323636636953,1.0535445652639528,1.4639139839435447
